"","Subject","item","experienced1","experienced2","experienced3","experienced4","remembered2","remembered3","remembered4","memdev2","memdev3","memdev4","currdev2","currdev3","currdev4"
"69","GU012","fear",2,2,NA,1,2,NA,1.5,0,NA,-0.5,0,NA,-1
"70","GU012","frustration",2,1,NA,3,1,NA,3.5,-1,NA,1.5,-1,NA,1
"71","GU012","sadness",4,5,NA,4.5,4,NA,3.5,0,NA,-0.5,1,NA,0.5
"72","GU012","shock",4,5,NA,2.5,5,NA,4.75,1,NA,0.75,1,NA,-1.5
"73","GU013","anger",3,2,3.5,2.5,1.5,4.5,4.25,-1.5,1.5,1.25,-1,0.5,-0.5
"74","GU013","confusion",5,1,1,1.25,4,2,2.75,-1,-3,-2.25,-4,-4,-3.75
"75","GU013","fear",3,1,1,1.25,1.5,2,2,-1.5,-1,-1,-2,-2,-1.75
"76","GU013","frustration",4,2,2.5,2,2,3.5,1.75,-2,-0.5,-2.25,-2,-1.5,-2
"77","GU013","sadness",5,3,3,1.75,4.5,3.5,3.25,-0.5,-1.5,-1.75,-2,-2,-3.25
"78","GU013","shock",5,1,1.5,2,5,3.5,4,0,-1.5,-1,-4,-3.5,-3
"79","GU014","anger",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"80","GU014","confusion",2,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,-1
"81","GU014","fear",5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-4
"82","GU014","frustration",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"83","GU014","sadness",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"84","GU014","shock",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1
"85","GU015","anger",2,2,3,2,1,4,4,-1,2,2,0,1,0
"86","GU015","confusion",3,2,4,3,4,5,4,1,2,1,-1,1,0
"87","GU015","fear",2,1,2,2,3,4,1.5,1,2,-0.5,-1,0,0
"88","GU015","frustration",4,4,4,4.5,5,5,3,1,1,-1,0,0,0.5
"89","GU015","sadness",1,3,1,4.25,1,4,2,0,3,1,2,0,3.25
"90","GU015","shock",2,3,3,1.75,4,5,4,2,3,2,1,1,-0.25
"91","GU016","anger",2,NA,NA,1.25,NA,NA,2.5,NA,NA,0.5,NA,NA,-0.75
"92","GU016","confusion",3,NA,NA,1.5,NA,NA,4,NA,NA,1,NA,NA,-1.5
"93","GU016","fear",2,NA,NA,1.25,NA,NA,2.5,NA,NA,0.5,NA,NA,-0.75
"94","GU016","frustration",3,NA,NA,1.75,NA,NA,3.5,NA,NA,0.5,NA,NA,-1.25
"95","GU016","sadness",5,NA,NA,3.25,NA,NA,3.75,NA,NA,-1.25,NA,NA,-1.75
"96","GU016","shock",4,NA,NA,1.25,NA,NA,4.25,NA,NA,0.25,NA,NA,-2.75
"97","GU017","anger",3,NA,3,NA,NA,5,NA,NA,2,NA,NA,0,NA
"98","GU017","confusion",4,NA,2,NA,NA,5,NA,NA,1,NA,NA,-2,NA
"99","GU017","fear",4,NA,3,NA,NA,5,NA,NA,1,NA,NA,-1,NA
"100","GU017","frustration",3,NA,2,NA,NA,3,NA,NA,0,NA,NA,-1,NA
"101","GU017","sadness",4,NA,4,NA,NA,5,NA,NA,1,NA,NA,0,NA
"102","GU017","shock",4,NA,2,NA,NA,5,NA,NA,1,NA,NA,-2,NA
"103","GU018","anger",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","GU018","confusion",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","GU018","fear",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","GU018","frustration",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","GU018","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","GU018","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","GU019","anger",4,2,3,NA,4,4,NA,0,0,NA,-2,-1,NA
"110","GU019","confusion",3,2,2,NA,4,4,NA,1,1,NA,-1,-1,NA
"111","GU019","fear",4,2,2,NA,5,4,NA,1,0,NA,-2,-2,NA
"112","GU019","frustration",4,3,2,NA,5,5,NA,1,1,NA,-1,-2,NA
"113","GU019","sadness",4,3,3,NA,4,4,NA,0,0,NA,-1,-1,NA
"114","GU019","shock",4,NA,1,NA,5,4,NA,1,0,NA,NA,-3,NA
"115","GU020","anger",1,1,NA,NA,2,NA,NA,1,NA,NA,0,NA,NA
"116","GU020","confusion",1,1,NA,NA,5,NA,NA,4,NA,NA,0,NA,NA
"117","GU020","fear",1,1,NA,NA,3,NA,NA,2,NA,NA,0,NA,NA
"118","GU020","frustration",4,1,NA,NA,2,NA,NA,-2,NA,NA,-3,NA,NA
"119","GU020","sadness",4,1,NA,NA,4,NA,NA,0,NA,NA,-3,NA,NA
"120","GU020","shock",3,2,NA,NA,5,NA,NA,2,NA,NA,-1,NA,NA
"121","GU021","anger",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","GU021","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","GU021","fear",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","GU021","frustration",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","GU021","sadness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","GU021","shock",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","GU022","anger",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","GU022","confusion",1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","GU022","fear",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","GU022","frustration",1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","GU022","sadness",3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","GU022","shock",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","GU023","anger",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","GU023","confusion",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","GU023","fear",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","GU023","frustration",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","GU023","sadness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","GU023","shock",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","GU024","anger",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","GU024","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","GU024","fear",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","GU024","frustration",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","GU024","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","GU024","shock",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","GU025","anger",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
