"","Subject","prev_experience","curr_experience","stress_memory","memdev","curr_dev","num_weights_updated","twovar_stress_memory","twovar_prev_experience","time"
"71","GU071",2.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"72","GU072",2.58333333333333,NA,NA,NA,NA,0,NA,NA,2
"73","GU073",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"74","GU074",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"75","GU075",4.33333333333333,2.33333333333333,4.83333333333333,0.5,-2,6,4.83333333333333,4.33333333333333,2
"76","GU076",3.33333333333333,1.66666666666667,2.66666666666667,-0.666666666666667,-1.66666666666667,6,2.66666666666667,3.33333333333333,2
"77","GU077",4.16666666666667,3.66666666666667,4.66666666666667,0.5,-0.5,6,4.66666666666667,4.16666666666667,2
"78","GU078",1.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"79","GU079",2.66666666666667,1.8,2.83333333333333,0.166666666666667,-0.6,5,2.83333333333333,2.66666666666667,2
"80","GU080",2.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"81","GU081",3.5,NA,NA,NA,NA,0,NA,NA,2
"82","GU082",3,3.08333333333333,4.25,0.875,0.0833333333333333,4,4.25,3.375,2
"83","GU083",4.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"84","GU084",3.16666666666667,2.83333333333333,4.33333333333333,1.16666666666667,-0.333333333333333,6,4.33333333333333,3.16666666666667,2
"85","GU085",2.75,NA,NA,NA,NA,0,NA,NA,2
"86","GU086",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"87","GU087",3.33333333333333,1.2,3.25,-0.5,-2.4,4,3.25,3.75,2
"88","GU088",3.5,2.2,3.66666666666667,0.166666666666667,-1.6,5,3.66666666666667,3.5,2
"89","GU089",3.33333333333333,3.33333333333333,3.58333333333333,0.25,0,6,3.58333333333333,3.33333333333333,2
"90","GU090",4.83333333333333,3.83333333333333,4.5,-0.333333333333333,-1,6,4.5,4.83333333333333,2
"91","GU091",2.75,NA,NA,NA,NA,0,NA,NA,2
