"","Subject","age","gender"
"932","NYU284",29,"Female"
"933","NSU095",54,"Female"
"934","STLM045",49,"Male"
"935","UCSC055",25,"Female"
"936","STLC002",34,"Female"
"937","NSU146",25,"Female"
"938","STLC052",20,"Male"
"939","UCSC031",40,"Female"
"940","STAN145",21,"Male"
"941","STLM119",61,"Male"
"942","STLC055",26,"Female"
"943","NSU183",22,"Female"
"944","YALE081",24,"Female"
"945","YALE082",57,"Male"
"946","GU126",23,"Male"
"947","NSU028",33,"Female"
"948","STLC043",21,"Female"
"949","NSU148",22,"Female"
"950","NYU294",22,"Female"
"951","NYU295",19,"Female"
"952","STAN161",19,"Female"
"953","NSU084",34,"Female"
"954","NYU296",22,"Male"
"955","STLM048",83,"Female"
"956","STLC030",19,"Female"
"957","YALE085",18,"Male"
"958","STLC046",18,"Female"
"959","NYU301",18,"Male"
"960","NSU094",33,"Female"
"961","NYU305",44,"Male"
"962","STLC078",18,"Male"
"963","STAN132",19,"Female"
"964","STLM123",46,"Female"
"965","YALE087",20,"Female"
"966","UCSC045",29,"Male"
"967","NSU163",31,"Female"
"968","STAN118",20,"Female"
"969","NSU137",32,"Female"
"970","GU042",22,"Male"
"971","GU031",21,"Female"
"972","YALE088",18,"Female"
"973","NYU308",22,"Male"
"974","NSU048",50,"Female"
"975","STAN154",20,"Female"
"976","UCSC047",23,"Female"
"977","STAN104",29,"Female"
"978","UCSC020",23,"Male"
"979","STAN093",72,"Female"
"980","STLM083",83,"Female"
"981","NSU130",34,"Female"
"982","UCSC022",25,"Female"
"983","NSU211",23,"Female"
"984","STAN061",23,"Female"
"985","NYU316",34,"Female"
"986","GU144",18,"Female"
"987","NSU038",27,"Male"
"988","STAN002",19,"Female"
"989","NYU320",21,"Male"
"990","STAN150",32,"Female"
"991","NSU031",58,"Female"
"992","NSU073",73,"Female"
"993","NSU101",45,"Male"
"994","NYU045",39,"Female"
"995","YALE020",44,"Female"
"996","NYU085",39,"Female"
"997","NSU099",46,"Female"
"998","NYU153",52,"Female"
"999","YALE049",22,"Female"
"1000","NYU179",46,"Male"
"1001","NSU132",31,"Female"
"1002","NSU106",45,"Female"
"1003","GU038",20,"Male"
"1004","GU071",21,"Female"
"1005","GU147",19,"Female"
"1006","STAN153",52,"Male"
"1007","NSU016",50,"Female"
"1008","GU027",20,"Female"
"1009","NSU026",75,"Female"
"1010","STAN119",33,"Female"
"1011","NYU327",55,"Male"
"1012","STAN079",25,"Male"
"1013","NYU002",19,"Male"
"1014","NYU019",42,"Male"
"1015","NYU046",18,"Male"
"1016","NYU055",21,"Male"
"1017","STLC083",20,"Male"
"1018","NSU013",26,"Female"
"1019","STAN159",23,"Female"
"1020","STLC026",20,"Female"
"1021","GU141",24,"Female"
"1022","STAN128",17,"Female"
"1023","YALE021",20,"Male"
"1024","NYU090",20,"Male"
"1025","UCSC030",21,"Male"
"1026","STAN055",42,"Male"
"1027","STLM033",90,"Female"
"1028","NYU140",55,"Female"
"1029","NYU144",29,"Female"
"1030","NYU302",63,"Male"
"1031","STLM203",45,"Female"
"1032","GU035",19,"Male"
"1033","NYU161",33,"Male"
"1034","NSU158",20,"Female"
"1035","YALE050",25,"Female"
"1036","STLM200",67,"Female"
"1037","STAN018",21,"Male"
"1038","STLM097",53,"Male"
"1039","UCSC028",18,"Female"
"1040","STLC091",18,"Male"
"1041","NYU329",29,"Male"
"1042","STLM188",38,"Male"
"1043","STLM191",75,"Female"
"1044","STLM008",37,"Female"
"1045","STLM214",69,"Female"
"1046","NYU214",20,"Female"
"1047","STLM217",75,"Male"
"1048","NYU218",35,"Female"
"1049","GU169",18,"Male"
"1050","STLM204",29,"Male"
"1051","STLM087",73,"Female"
"1052","STLC045",18,"Male"
"1053","YALE079",30,"Female"
"1054","NYU266",41,"Male"
"1055","STLM031",82,"Female"
"1056","STLM139",71,"Male"
"1057","STLM129",78,"Male"
"1058","GU104",20,"Female"
"1059","STLM043",87,"Female"
"1060","YALE094",21,"Male"
"1061","STAN045",19,"Male"
"1062","YALE002",21,"Female"
"1063","YALE004",20,"Male"
"1064","STLC015",71,"Male"
"1065","GU117",18,"Female"
"1066","STLM011",60,"Female"
"1067","GU013",21,"Male"
"1068","STLM154",72,"Female"
"1069","STLM131",68,"Female"
"1070","STLC010",71,"Female"
"1071","NYU086",26,"Male"
"1072","STLM171",68,"Female"
"1073","STLM160",66,"Female"
"1074","STLM064",74,"Male"
"1075","GU079",20,"Male"
"1076","GU003",20,"Female"
"1077","STLC073",18,"Female"
"1078","STLC082",18,"Male"
"1079","GU060",21,"Female"
"1080","STAN012",21,"Male"
"1081","YALE062",18,"Female"
"1082","STLC007",68,"Female"
"1083","STLM164",69,"Female"
"1084","YALE092",24,"Male"
"1085","NYU071",17,"Female"
"1086","NYU178",68,"Male"
"1087","STAN052",55,"Male"
"1088","YALE046",18,"Male"
"1089","GU005",18,"Female"
"1090","NYU197",34,"Female"
"1091","YALE076",25,"Female"
"1092","YALE093",19,"Female"
"1093","NYU089",26,"Male"
"1094","NYU138",19,"Male"
"1095","STLM012",77,"Male"
"1096","STLM133",90,"Male"
"1097","NSU007",39,"Male"
"1098","NSU127",42,"Male"
"1099","STLM196",85,"Female"
"1100","NYU012",55,"Male"
"1101","STLM010",91,"Female"
"1102","STLM070",80,"Female"
"1103","GU131",20,"Male"
"1104","STLM116",77,"Male"
"1105","UCSC070",21,"Female"
"1106","GU067",21,"Male"
"1107","NYU017",57,"Male"
"1108","NSU078",48,"Female"
"1109","NSU151",49,"Female"
"1110","NYU025",19,"Male"
"1111","STLM004",62,"Female"
"1112","STLC068",24,"Male"
"1113","NYU033",20,"Male"
"1114","STLM017",44,"Male"
"1115","STLC037",19,"Female"
"1116","STLM211",77,"Female"
"1117","STLM020",61,"Female"
"1118","GU145",21,"Female"
"1119","STLM216",62,"Female"
"1120","STAN034",56,"Male"
"1121","NYU056",24,"Male"
"1122","STAN031",18,"Female"
"1123","STLM074",45,"Female"
"1124","GU041",20,"Female"
"1125","GU166",19,"Male"
"1126","STLM113",70,"Female"
"1127","STLM212",43,"Female"
"1128","NYU066",25,"Female"
"1129","GU112",20,"Female"
"1130","STLM001",80,"Female"
"1131","NYU074",21,"Female"
"1132","STLM165",81,"Female"
"1133","STLM041",76,"Female"
"1134","STLM143",54,"Female"
"1135","STLC070",19,"Male"
"1136","STLC057",19,"Male"
"1137","STLM051",63,"Female"
"1138","STLM173",84,"Male"
"1139","STLM122",52,"Male"
"1140","STLM178",68,"Male"
"1141","STLM206",74,"Male"
"1142","NSU193",33,"Female"
"1143","GU033",21,"Female"
"1144","NYU097",18,"Male"
"1145","NYU098",19,"Male"
"1146","STLM062",52,"Female"
"1147","GU127",19,"Male"
"1148","STLC077",19,"Female"
"1149","STLC060",20,"Male"
"1150","NYU114",32,"Male"
"1151","GU046",20,"Male"
"1152","NYU126",55,"Female"
"1153","STLM132",68,"Female"
"1154","GU095",25,"Female"
"1155","STLM036",67,"Female"
"1156","YALE036",26,"Male"
"1157","STAN068",26,"Male"
"1158","GU162",18,"Male"
"1159","STAN111",26,"Male"
"1160","GU074",21,"Male"
"1161","STLM065",67,"Male"
"1162","STLM109",73,"Male"
"1163","GU028",18,"Female"
"1164","STLC036",19,"Female"
"1165","STLM166",68,"Female"
"1166","STLM162",88,"Female"
"1167","STLM016",88,"Male"
"1168","NSU087",32,"Female"
"1169","STLM098",91,"Female"
"1170","STAN087",23,"Male"
"1171","STLM146",66,"Female"
"1172","STAN060",21,"Female"
"1173","STLM015",69,"Male"
"1174","STAN040",22,"Male"
"1175","STLM183",79,"Female"
"1176","STAN058",51,"Male"
"1177","YALE056",72,"Male"
"1178","YALE057",19,"Female"
"1179","STAN065",54,"Female"
"1180","GU105",19,"Female"
"1181","NYU207",20,"Female"
"1182","HUY003",17,"Female"
"1183","HUY005",18,"Male"
"1184","HUY012",18,"Male"
"1185","HUY015",18,"Male"
"1186","HUY027",18,"Female"
"1187","HUY036",19,"Female"
"1188","NSU034",39,"Female"
"1189","STLM192",39,"Female"
"1190","HUE012",72,"Female"
"1191","HUE017",68,"Female"
"1192","HUE027",72,"Male"
"1193","NYU328",88,"Male"
"1194","STLM151",35,"Female"
"1195","STLM050",45,"Female"
"1196","GU070",21,"Female"
"1197","STAN050",19,"Female"
"1198","STLM142",62,"Female"
"1199","GU163",28,"Male"
"1200","STLM028",71,"Male"
"1201","NYU232",20,"Male"
"1202","NYU237",18,"Male"
"1203","NYU238",56,"Female"
"1204","STLM059",88,"Female"
"1205","STLM082",65,"Female"
"1206","NYU242",20,"Male"
"1207","STLC017",85,"Female"
"1208","GU167",19,"Male"
"1209","NYU245",21,"Male"
"1210","STLM061",32,"Male"
"1211","GU164",18,"Female"
"1212","STAN130",20,"Male"
"1213","STLM042",60,"Female"
"1214","NYU264",58,"Female"
"1215","STLC067",18,"Female"
"1216","NYU276",26,"Male"
"1217","STLM106",83,"Male"
"1218","GU040",20,"Female"
"1219","STLM199",57,"Male"
"1220","NYU285",26,"Male"
"1221","STLC076",20,"Male"
"1222","NYU287",29,"Male"
"1223","NSU070",33,"Male"
"1224","STLM035",66,"Female"
"1225","STLM075",60,"Female"
"1226","UCSC012",19,"Female"
"1227","GU087",23,"Female"
"1228","STLM144",47,"Female"
"1229","GU047",19,"Female"
"1230","GU024",18,"Male"
"1231","STLM163",73,"Female"
"1232","STLM100",93,"Female"
"1233","STLM111",91,"Female"
"1234","NYU310",67,"Female"
"1235","STLM145",84,"Female"
"1236","STLM207",61,"Male"
"1237","NYU069",49,"Male"
"1238","GU018",18,"Female"
"1239","NYU067",64,"Female"
"1240","NYU081",29,"Female"
"1241","NYU172",19,"Male"
"1242","HUY001",20,"Male"
"1243","YALE003",34,"Male"
"1244","YALE007",22,"Female"
"1245","STLM003",63,"Female"
"1246","NYU050",33,"Male"
"1247","GU015",19,"Female"
"1248","STLM198",40,"Female"
"1249","UCSC068",23,"Female"
"1250","NYU233",35,"Male"
"1251","NYU290",20,"Female"
"1252","STAN016",22,"Female"
"1253","NSU076",42,"Male"
"1254","STAN076",50,"Male"
"1255","NYU337",18,"Male"
"1256","GU119",21,"Female"
"1257","STAN063",33,"Male"
"1258","GU021",20,"Male"
"1259","STLM175",71,"Male"
"1260","STLM182",42,"Female"
"1261","YALE015",45,"Male"
"1262","STLC039",19,"Male"
"1263","NYU044",19,"Female"
"1264","NYU053",32,"Female"
"1265","GU138",21,"Female"
"1266","UCSC053",39,"Male"
"1267","STLC047",24,"Male"
"1268","STLM153",81,"Male"
"1269","GU106",20,"Female"
"1270","STLM169",79,"Female"
"1271","NYU078",19,"Male"
"1272","STLM060",50,"Female"
"1273","NYU091",18,"Male"
"1274","STLM187",64,"Female"
"1275","STLM057",72,"Female"
"1276","STLM069",74,"Female"
"1277","STLM135",67,"Male"
"1278","GU054",20,"Male"
"1279","GU009",19,"Female"
"1280","STLM104",56,"Male"
"1281","STLM009",95,"Female"
"1282","STLM213",84,"Male"
"1283","STLC008",81,"Female"
"1284","NYU132",33,"Male"
"1285","NYU134",37,"Male"
"1286","STLC014",80,"Male"
"1287","GU116",27,"Male"
"1288","STLC018",83,"Male"
"1289","STAN099",53,"Male"
"1290","GU086",21,"Female"
"1291","STAN054",50,"Male"
"1292","UCSC009",22,"Male"
"1293","STLM121",72,"Female"
"1294","STAN136",27,"Male"
"1295","NSU205",30,"Female"
"1296","STLM073",52,"Female"
"1297","YALE048",18,"Female"
"1298","NYU171",31,"Male"
"1299","STLM127",72,"Male"
"1300","UCSC058",43,"Female"
"1301","NYU176",20,"Male"
"1302","STLM078",80,"Female"
"1303","STLM102",61,"Male"
"1304","STLM071",86,"Male"
"1305","NYU201",42,"Male"
"1306","STAN148",35,"Female"
"1307","STLM103",86,"Female"
"1308","STAN109",31,"Male"
"1309","HUY011",18,"Male"
"1310","HUY033",18,"Male"
"1311","NYU334",40,"Male"
"1312","HUE031",63,"Female"
"1313","HUE001",74,"Female"
"1314","HUE004",77,"Male"
"1315","HUE014",72,"Female"
"1316","HUE016",75,"Female"
"1317","HUE019",74,"Female"
"1318","HUE034",75,"Female"
"1319","HUE036",69,"Female"
"1320","YALE061",18,"Male"
"1321","NSU145",21,"Female"
"1322","STLM197",70,"Male"
"1323","NSU063",46,"Female"
"1324","STLC084",20,"Male"
"1325","NYU229",20,"Female"
"1326","STLM134",76,"Male"
"1327","STLM079",74,"Female"
"1328","STLC066",20,"Male"
"1329","YALE070",18,"Male"
"1330","STLC016",83,"Female"
"1331","STLM157",19,"Female"
"1332","STLM029",43,"Female"
"1333","GU133",21,"Male"
"1334","NYU251",42,"Male"
"1335","STLM040",39,"Female"
"1336","STLM215",75,"Female"
"1337","STLM026",75,"Male"
"1338","NYU255",38,"Male"
"1339","STLC031",22,"Female"
"1340","STAN108",33,"Male"
"1341","NYU259",41,"Female"
"1342","STLC071",30,"Female"
"1343","STAN106",23,"Female"
"1344","STLC080",19,"Female"
"1345","NYU289",20,"Male"
"1346","NYU293",22,"Female"
"1347","STAN100",52,"Female"
"1348","STAN032",26,"Female"
"1349","STLM025",64,"Male"
"1350","STAN010",23,"Male"
"1351","STLM058",48,"Female"
"1352","GU090",18,"Female"
"1353","NYU307",19,"Female"
"1354","STLM170",64,"Female"
"1355","STLM095",41,"Female"
"1356","GU094",19,"Male"
"1357","STAN102",41,"Female"
"1358","NYU115",47,"Female"
"1359","NSU056",40,"Female"
"1360","STAN117",38,"Female"
"1361","NYU100",18,"Female"
"1362","STAN015",18,"Female"
"1363","NSU107",62,"Male"
"1364","NSU144",60,"Female"
"1365","NYU323",49,"Female"
"1366","NSU029",48,"Male"
"1367","STLM088",72,"Female"
"1368","NSU068",35,"Male"
"1369","STAN098",40,"Male"
"1370","STLM174",79,"Female"
"1371","STLC061",19,"Male"
"1372","GU173",33,"Male"
"1373","NSU141",21,"Female"
"1374","NYU119",27,"Female"
"1375","NYU129",47,"Male"
"1376","NYU155",29,"Male"
"1377","NSU149",20,"Female"
"1378","STLM037",63,"Male"
"1379","NYU299",23,"Female"
"1380","NYU333",28,"Male"
"1381","HUE025",69,"Female"
"1382","NSU136",32,"Male"
"1383","GU051",19,"Male"
"1384","NYU244",26,"Female"
"1385","NYU253",43,"Female"
"1386","STLC024",19,"Male"
"1387","NSU061",31,"Female"
"1388","STLM092",88,"Female"
"1389","NYU303",26,"Male"
"1390","NYU306",22,"Female"
"1391","UCSC063",21,"Female"
"1392","STLM110",45,"Male"
"1393","GU120",21,"Female"
"1394","GU170",18,"Male"
"1395","GU134",21,"Female"
"1396","GU129",19,"Female"
"1397","NYU270",23,"Male"
"1398","NSU200",19,"Male"
"1399","GU096",21,"Female"
"1400","STAN088",22,"Male"
"1401","GU158",19,"Female"
"1402","STLC022",19,"Male"
"1403","STAN053",40,"Male"
"1404","UCSC057",40,"Male"
"1405","NYU047",28,"Female"
"1406","STAN144",20,"Female"
"1407","NYU060",28,"Male"
"1408","NYU080",34,"Male"
"1409","STLC074",19,"Female"
"1410","GU017",21,"Female"
"1411","UCSC003",27,"Female"
"1412","NYU143",20,"Female"
"1413","NYU157",19,"Male"
"1414","STAN107",31,"Female"
"1415","YALE047",18,"Female"
"1416","NSU083",30,"Male"
"1417","NYU186",24,"Female"
"1418","STLC088",17,"Female"
"1419","STLC081",17,"Female"
"1420","HUY010",18,"Female"
"1421","HUY014",18,"Female"
"1422","HUY016",18,"Female"
"1423","HUY022",19,"Male"
"1424","HUY029",18,"Female"
"1425","HUY035",19,"Female"
"1426","HUE023",75,"Female"
"1427","HUE024",76,"Female"
"1428","NYU338",18,"Female"
"1429","STAN017",28,"Male"
"1430","NSU131",31,"Female"
"1431","STLM179",75,"Female"
"1432","STAN114",23,"Male"
"1433","STLC029",19,"Female"
"1434","NSU196",42,"Female"
"1435","YALE086",0,"Male"
