"","Subject","age","gender"
"212","STAN121",24,"Male"
"213","NYU005",24,"Female"
"214","NSU154",27,"Male"
"215","YALE030",26,"Female"
"216","YALE054",26,"Female"
"217","GU036",20,"Male"
"218","NYU206",60,"Female"
"219","NYU051",50,"Male"
"220","NYU062",19,"Female"
"221","STAN005",30,"Female"
"222","UCSC071",23,"Female"
"223","NSU002",24,"Female"
"224","NYU110",53,"Female"
"225","NYU113",57,"Male"
"226","NYU009",30,"Male"
"227","NYU011",24,"Male"
"228","NSU129",27,"Male"
"229","NSU191",28,"Female"
"230","NYU041",20,"Female"
"231","STAN101",20,"Male"
"232","NYU079",40,"Male"
"233","YALE022",27,"Female"
"234","NSU109",22,"Male"
"235","GU097",19,"Female"
"236","YALE026",23,"Male"
"237","NYU106",23,"Male"
"238","NYU116",36,"Male"
"239","NYU131",31,"Female"
"240","NYU133",24,"Female"
"241","STAN151",25,"Female"
"242","GU092",29,"Female"
"243","NYU139",18,"Female"
"244","STAN028",42,"Male"
"245","UCSC024",23,"Female"
"246","STAN033",67,"Female"
"247","GU030",20,"Female"
"248","STLC012",59,"Male"
"249","YALE053",21,"Female"
"250","NYU200",18,"Male"
"251","YALE058",19,"Female"
"252","HUE035",71,"Female"
"253","STLC062",26,"Male"
"254","NYU226",35,"Female"
"255","NYU230",20,"Male"
"256","GU032",20,"Female"
"257","STLM077",52,"Female"
"258","NYU263",66,"Male"
"259","NYU265",23,"Male"
"260","STAN064",54,"Male"
"261","NSU208",31,"Female"
"262","STAN003",31,"Male"
"263","NYU297",41,"Male"
"264","STAN029",22,"Female"
"265","NYU309",23,"Female"
"266","NSU160",42,"Male"
"267","NYU317",57,"Male"
"268","GU050",21,"Male"
"269","YALE005",22,"Female"
"270","NYU010",52,"Male"
"271","NSU080",31,"Female"
"272","NSU092",61,"Female"
"273","NYU015",38,"Male"
"274","YALE008",18,"Female"
"275","NYU018",67,"Female"
"276","NYU021",61,"Male"
"277","GU058",20,"Female"
"278","NSU052",47,"Female"
"279","NYU027",20,"Female"
"280","NYU032",41,"Male"
"281","UCSC062",26,"Female"
"282","NSU203",32,"Male"
"283","NYU036",18,"Female"
"284","NSU133",34,"Female"
"285","STLM067",70,"Male"
"286","NYU043",23,"Female"
"287","STLM027",50,"Female"
"288","YALE014",19,"Female"
"289","YALE016",21,"Male"
"290","NSU155",32,"Male"
"291","NYU057",48,"Female"
"292","STLC033",49,"Female"
"293","NSU025",45,"Male"
"294","NYU063",24,"Female"
"295","GU157",20,"Male"
"296","GU061",19,"Female"
"297","STLM168",57,"Female"
"298","NSU093",37,"Female"
"299","UCSC008",21,"Female"
"300","STAN090",37,"Female"
"301","NYU104",28,"Female"
"302","NYU107",24,"Female"
"303","NSU071",52,"Male"
"304","NYU118",30,"Male"
"305","NYU123",27,"Female"
"306","STAN025",34,"Female"
"307","STLM209",59,"Female"
"308","NYU127",24,"Male"
"309","NYU128",56,"Female"
"310","YALE034",21,"Female"
"311","GU057",20,"Female"
"312","NSU102",41,"Female"
"313","STAN022",30,"Male"
"314","NSU035",37,"Female"
"315","NYU148",58,"Female"
"316","NYU149",34,"Female"
"317","STLM034",65,"Female"
"318","GU093",18,"Female"
"319","NYU152",22,"Female"
"320","YALE043",19,"Male"
"321","UCSC046",57,"Male"
"322","YALE045",49,"Female"
"323","NSU134",32,"Male"
"324","STLM005",50,"Female"
"325","GU075",20,"Female"
"326","NYU169",64,"Male"
"327","NSU177",25,"Female"
"328","NSU003",35,"Male"
"329","NSU042",55,"Female"
"330","NYU173",61,"Male"
"331","STLC063",19,"Female"
"332","NSU045",55,"Female"
"333","YALE052",24,"Female"
"334","NSU110",41,"Male"
"335","NYU192",27,"Male"
"336","NSU190",22,"Female"
"337","NSU156",31,"Female"
"338","NYU195",20,"Female"
"339","NSU202",26,"Female"
"340","GU001",18,"Female"
"341","NSU054",60,"Female"
"342","NYU204",21,"Male"
"343","NSU067",49,"Male"
"344","NSU105",65,"Female"
"345","NSU111",53,"Female"
"346","NYU213",31,"Female"
"347","GU076",18,"Female"
"348","NYU216",17,"Female"
"349","GU165",19,"Female"
"350","NYU219",41,"Female"
"351","NSU004",52,"Female"
"352","NYU222",46,"Female"
"353","NYU223",19,"Female"
"354","STLM076",42,"Female"
"355","GU004",19,"Female"
"356","STLM044",83,"Female"
"357","NSU033",52,"Female"
"358","GU088",20,"Male"
"359","STLM117",54,"Female"
"360","NSU005",65,"Male"
"361","STLM080",57,"Female"
"362","NSU012",37,"Female"
"363","UCSC042",51,"Female"
"364","STLM147",73,"Male"
"365","STAN095",25,"Female"
"366","NSU113",50,"Female"
"367","YALE075",21,"Male"
"368","GU139",21,"Male"
"369","GU124",20,"Female"
"370","GU121",18,"Female"
"371","NSU014",36,"Female"
"372","NSU072",60,"Female"
"373","NYU262",68,"Female"
"374","NYU272",47,"Female"
"375","NSU043",39,"Male"
"376","NYU286",61,"Male"
"377","UCSC072",37,"Female"
"378","NSU018",59,"Male"
"379","NYU288",19,"Female"
"380","STLM032",58,"Male"
"381","NYU291",19,"Female"
"382","NYU298",45,"Male"
"383","NYU300",50,"Female"
"384","GU102",19,"Female"
"385","STLM114",59,"Female"
"386","NSU108",69,"Female"
"387","YALE089",52,"Female"
"388","NYU311",53,"Female"
"389","YALE090",19,"Female"
"390","YALE091",31,"Male"
"391","NYU312",21,"Male"
"392","NYU313",38,"Female"
"393","NYU314",58,"Male"
"394","UCSC007",21,"Female"
"395","STAN094",22,"Female"
"396","NYU321",51,"Female"
"397","NYU322",42,"Female"
"398","STLM219",78,"Female"
"399","NYU023",21,"Female"
"400","NYU029",31,"Female"
"401","NYU124",42,"Female"
"402","NYU125",46,"Female"
"403","NSU079",53,"Female"
"404","NYU156",21,"Male"
"405","NYU165",48,"Female"
"406","NSU058",46,"Female"
"407","NYU227",39,"Female"
"408","GU053",18,"Female"
"409","GU044",18,"Female"
"410","UCSC061",35,"Female"
"411","STLM140",70,"Female"
"412","NSU077",41,"Male"
"413","UCSC023",23,"Female"
"414","NYU006",19,"Female"
"415","NYU022",53,"Male"
"416","GU012",21,"Female"
"417","NYU034",33,"Female"
"418","YALE013",24,"Male"
"419","STAN097",61,"Female"
"420","NYU082",23,"Female"
"421","NSU171",24,"Male"
"422","NSU175",25,"Female"
"423","GU108",21,"Male"
"424","UCSC017",25,"Female"
"425","NYU112",38,"Female"
"426","STLC064",18,"Female"
"427","NSU060",43,"Female"
"428","GU118",19,"Female"
"429","UCSC034",20,"Female"
"430","GU048",20,"Female"
"431","NSU166",20,"Male"
"432","YALE040",21,"Female"
"433","YALE042",25,"Female"
"434","GU034",19,"Male"
"435","GU002",20,"Female"
"436","STAN139",20,"Female"
"437","NSU024",29,"Female"
"438","GU123",20,"Female"
"439","NYU203",19,"Female"
"440","NYU205",18,"Female"
"441","NYU208",20,"Female"
"442","STAN138",20,"Female"
"443","NSU103",46,"Female"
"444","NYU257",59,"Female"
"445","NYU283",18,"Female"
"446","STLC042",24,"Female"
"447","NSU189",58,"Female"
"448","NYU304",21,"Female"
"449","STAN070",23,"Female"
"450","STAN006",31,"Female"
"451","GU136",18,"Female"
"452","NSU027",23,"Male"
"453","NYU016",44,"Male"
"454","NSU195",18,"Female"
"455","NYU052",23,"Male"
"456","YALE019",21,"Male"
"457","GU014",20,"Female"
"458","NSU066",45,"Female"
"459","NSU001",39,"Male"
"460","NSU215",36,"Female"
"461","NYU111",42,"Female"
"462","GU016",20,"Female"
"463","YALE035",21,"Female"
"464","YALE037",18,"Female"
"465","GU043",19,"Male"
"466","STLC041",19,"Male"
"467","NYU241",48,"Female"
"468","NSU204",26,"Female"
"469","NYU271",35,"Female"
"470","NYU292",19,"Male"
"471","YALE001",25,"Male"
"472","STLC038",18,"Male"
"473","NYU324",17,"Female"
"474","NYU326",27,"Female"
"475","NSU096",40,"Male"
"476","NSU075",31,"Female"
"477","NSU210",21,"Female"
"478","NSU168",36,"Female"
"479","STAN075",33,"Female"
"480","NSU119",48,"Male"
"481","STAN021",32,"Female"
"482","STLC089",19,"Male"
"483","NYU007",25,"Female"
"484","STAN049",18,"Male"
"485","NYU008",23,"Female"
"486","NSU159",24,"Female"
"487","YALE006",18,"Male"
"488","NYU013",23,"Male"
"489","NYU014",30,"Female"
"490","NSU192",22,"Female"
"491","STLM039",48,"Female"
"492","STLM090",38,"Male"
"493","GU156",18,"Female"
"494","UCSC002",18,"Female"
"495","STLM158",80,"Female"
"496","NYU020",25,"Male"
"497","NSU089",47,"Male"
"498","STAN112",21,"Male"
"499","STLM018",77,"Female"
"500","STAN149",61,"Female"
"501","STAN044",20,"Female"
"502","NYU024",21,"Female"
