"","item","mean_experienced1","mean_experienced2","mean_experienced3","mean_experienced4","mean_remembered2","mean_remembered3","mean_remembered4","mean_memdev2","mean_memdev3","mean_memdev4","n_experienced1","n_experienced2","n_experienced3","n_experienced4","n_remembered2","n_remembered3","n_remembered4"
"1","anger",3.35875963559916,3.07584635416667,3.11299126637555,2.75166666666667,3.62066666666667,3.63322368421053,3.37459807073955,0.317580213903743,0.326206140350877,0.193729903536977,1427,768,458,300,750,456,311
"2","confusion",2.9632538569425,2.23344155844156,2.26684901531729,1.97321428571429,3.37338917525773,3.56030701754386,3.54487179487179,0.391849935316947,0.651431718061674,0.658360128617363,1426,770,457,308,776,456,312
"3","fear",3.14670868347339,2.49122236671001,2.49070021881838,2.0536858974359,3.48328877005348,3.55361050328228,3.4628164556962,0.353078982597055,0.347045951859956,0.319620253164557,1428,769,457,312,748,457,316
"4","frustration",3.49849334267694,2.85714285714286,3.01528384279476,2.77993527508091,3.4441935483871,3.445295404814,3.16584967320261,-0.0298835705045278,-0.0298687089715536,-0.27859477124183,1427,770,458,309,775,457,306
"5","sadness",4.06331464611072,3.50941558441558,3.53384279475983,3.41666666666667,4.2458118556701,4.32603938730853,4.30891719745223,0.138258064516129,0.191337719298246,0.200636942675159,1427,770,458,309,776,457,314
"6","shock",3.6687105816398,2.70488165680473,2.51761487964989,2.22727272727273,4.37789948453608,4.43818380743982,4.38286163522013,0.707687338501292,0.711159737417943,0.696540880503145,1427,676,457,308,776,457,318
