"","Subject","TP","Question","Rating"
"1","5d338bb02381b7001761694e","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"2","5c57631a47a04100010da795","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"3","5d73b97a40e4bc00019e1db8","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"4","5d8d12f6d88e3a00142c9751","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"5","5a3bdd2c8d005a0001829f3e","Now","BlvngGvmntNotCmbtCOVID",NA
"6","5c381b1ce4dbd30001fbc9c9","Now","BlvngGvmntNotCmbtCOVID",0.5
"7","5d615f7632cfbd001b1b6dcb","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"8","5c0a696aa4e5fc0001759543","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"9","5db222231ff7b4000ab2cfc1","Now","BlvngGvmntNotCmbtCOVID",0.5
"10","5c223d4a4a7e1f000137e5b9","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"11","5c55fec09fcbc40001dc50b5","Now","BlvngGvmntNotCmbtCOVID",0.5
"12","5d88db42c1d06e001a1fdcab","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"13","5d45c2d1da9cb60015aa4312","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"14","A2OVWCQ4B9AHFY","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"15","5b0fa626bd9c310001568d6c","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"16","5a4bf09053a4560001ba0ebf","Now","BlvngGvmntNotCmbtCOVID",0.5
"17","5cf5134c8f8ff80019e76721","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"18","5d9a09095223b6001809f1c9","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"19","5dea76e109c1071948aed0ff","Now","BlvngGvmntNotCmbtCOVID",0.5
"20","55ef4896b9401300137f40ac","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"21","5dfb693a73d72487b1fe495b","Now","BlvngGvmntNotCmbtCOVID",0.5
"22","5e121701dc79bd8a1a22ca99","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"23","5e683c4d6ca0f9000d3f35fe","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"24","5dfc64647adf4b971f329cbf","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"25","5e3a7e26ca5cf328020dc4b6","Now","BlvngGvmntNotCmbtCOVID",0.5
