Subject,Conf_Rat,avg_dev,num_weights,BDev
5d338bb02381b7001761694e,Med,1.6,5,0.699724518
5c57631a47a04100010da795,Med,1.6,5,0.699724518
5d73b97a40e4bc00019e1db8,Med,0.75,5,0.593620868
5d8d12f6d88e3a00142c9751,High,0.4,5,0.549931129
5c381b1ce4dbd30001fbc9c9,Low,1,5,0.624827824
5d615f7632cfbd001b1b6dcb,High,0.25,4,0.531206956
5c0a696aa4e5fc0001759543,High,1,4,0.624827824
5db222231ff7b4000ab2cfc1,Low,-0.2,5,0.475034435
5c223d4a4a7e1f000137e5b9,Med,0.4,5,0.549931129
5c55fec09fcbc40001dc50b5,Med,0,5,0.5
5d88db42c1d06e001a1fdcab,Med,0.8,5,0.599862259
5d45c2d1da9cb60015aa4312,Low,0.4,5,0.549931129
A2OVWCQ4B9AHFY,Med,0,0,0.5
5b0fa626bd9c310001568d6c,High,1.2,5,0.649793388
5a4bf09053a4560001ba0ebf,Low,0.8,5,0.599862259
5cf5134c8f8ff80019e76721,High,-0.8,5,0.400137741
5d9a09095223b6001809f1c9,Med,0,5,0.5
5dea76e109c1071948aed0ff,High,1,5,0.624827824
55ef4896b9401300137f40ac,High,0.6,5,0.574896694
5dfb693a73d72487b1fe495b,High,0.6,5,0.574896694
5e121701dc79bd8a1a22ca99,High,-1,5,0.375172176
5e683c4d6ca0f9000d3f35fe,Low,0.6,5,0.574896694
5dfc64647adf4b971f329cbf,High,-0.2,5,0.475034435
5e3a7e26ca5cf328020dc4b6,Low,1.4,5,0.674758953
5c7cf8b58ca9000001b52f6e,High,2.2,5,0.774621212
5aa637861eda41000136d5d2,Low,0.75,4,0.593620868
5bf17270871dd1000197226e,Med,0.4,5,0.549931129
5be0a65507684000010cf0f9,High,1,4,0.624827824
5c0150326a0c6e00013c6068,Low,0,5,0.5
599eaf0fbfd73c00010ea24e,Low,0,5,0.5
5eaad5dcc2e64603e5122442,Med,1.4,5,0.674758953
5c3a34eebe1ddc0001aa35d6,High,0.2,5,0.524965565
5d55d562e04e1c0001f5e682,High,2,5,0.749655647
5e121b2b82a955890a9b3484,Med,-0.2,5,0.475034435
A3OB6REG5CGHK1,High,0.4,0,0.549931129
5d5f07cdca10e90016bc0103,High,1,5,0.624827824
5ede432f75bfd1073c1501d8,High,0.2,5,0.524965565
5ec7ec01fc75cf27b5dd16ee,High,0.8,5,0.599862259
5cfc3d486e9951001a0cb8cd,High,-0.2,5,0.475034435
5dcefcd0307b8d05031d7264,High,0,5,0.5
57e7bb4e73e67300012b8e2a,High,-0.6,5,0.425103306
5993020a5f49420001caf86b,High,1.6,5,0.699724518
5a78e410ae9a0b0001a97274,High,0,5,0.5
5bf32090a155c300016f3c06,High,0,5,0.5
5e667f3bc3f30a4050fc8f2f,Med,0,5,0.5
5e500182080ac1000b1c7315,High,0.75,4,0.593620868
58742bf5d53c97000159df8c,High,-0.2,5,0.475034435
5d47abcc2dc88900166f27c9,High,1,5,0.624827824
5ee0f5feec87fc0bc5eabdd7,High,0.2,5,0.524965565
5d76a776f6630c0018431c01,Med,0.4,5,0.549931129
5b5a822e1ad8270001c4f28d,High,-0.6,5,0.425103306
5e6d3b17a2b73d2f7aef3d04,High,-3.2,5,0.100550964
5e1b9d3d08b5ba3c86879d5b,High,0.2,5,0.524965565
5d82be0cf45ead000150f026,High,1.2,5,0.649793388
5edc195a95d5090e1c3f91b2,High,0.4,5,0.549931129
5e39d872793a082024d9cf18,High,0,5,0.5
57dd766bbcd7150001ded5de,Med,0.2,5,0.524965565
59417543c768a500011c9731,High,0.5,4,0.562413912
56f0393f3f71990005d0e66d,High,0.4,5,0.549931129
5e51dfe3618c57215938d7b7,High,2.6,5,0.824552342
5d54b73f1c1de70015d50959,High,2,5,0.749655647
5d6141608a11df001a477fbe,High,-0.2,5,0.475034435
5be781ca3b047e0001a39e47,Med,-0.8,5,0.400137741
5e04446a783225ee6e9ed929,Med,-2.2,5,0.225378788
59a1de0cec2f75000124eeaf,High,0.8,5,0.599862259
5dd3e852b988873c617cd21a,High,0.6,5,0.574896694
5e975ea254955d0bfe9f7929,Med,0.4,5,0.549931129
5dcf402982569a08ddd84086,High,0.4,5,0.549931129
5dcf7b49523df00ae9c4e07e,Med,0.2,5,0.524965565
5ed17af75957f60d040e3f34,High,-0.2,5,0.475034435
5edd13e3858a15a07241964b,Med,1.8,5,0.724690083
578673a9275be6000135880e,Low,0.6,5,0.574896694
5ecc6fb87c7c7646490f3cf8,Med,0.4,5,0.549931129
58effc65c31d4d00015aa5b9,Low,0.6,5,0.574896694
5e416e22fb96eb000b3fe2a8,High,1.4,5,0.674758953
5c43349027bb0d0001282427,Low,-0.6,3,0.425103306
5c2cdb4e213a1a0001b9c475,Med,-0.2,5,0.475034435
5eb2d579ed24d507082b07a2,High,1.2,5,0.649793388
5dc1cd625fd2031344dfe43d,Low,1,5,0.624827824
5b97f8988ae8150001c7a887,High,1,5,0.624827824
5c5fc78e96dff400013607a5,High,0.4,5,0.549931129
5c804f4092ad770015846011,Med,-0.6,5,0.425103306
5d2e56ae72b6780001c66698,Low,-0.2,5,0.475034435
5d82d28977546f00166ae702,High,0.4,5,0.549931129
5a9262251eda410001360b2c,Med,0.8,4,0.599862259
5ea492e3b1b3620a6fee3b90,Med,0.4,5,0.549931129
59e833e72f63d30001c8fb86,High,2,5,0.749655647
5c71b63c4aa8ec0001f2bfc4,Med,0.8,5,0.599862259
5dc4175e3317732e53467e8b,Med,-0.8,2,0.400137741
59658491b9153e0001617465,Low,1,5,0.624827824
