Subject,TP,Question,Rating
5dc1cd625fd2031344dfe43d,Now,DecreasedInPersonVisits,0.000343879
5b97f8988ae8150001c7a887,Now,DecreasedInPersonVisits,0.749828061
5c5fc78e96dff400013607a5,Now,DecreasedInPersonVisits,0.000343879
5c804f4092ad770015846011,Now,DecreasedInPersonVisits,0.999656121
5d2e56ae72b6780001c66698,Now,DecreasedInPersonVisits,0.250171939
5d82d28977546f00166ae702,Now,DecreasedInPersonVisits,0.000343879
5a9262251eda410001360b2c,Now,DecreasedInPersonVisits,0.250171939
5ea492e3b1b3620a6fee3b90,Now,DecreasedInPersonVisits,0.5
59e833e72f63d30001c8fb86,Now,DecreasedInPersonVisits,0.250171939
5c71b63c4aa8ec0001f2bfc4,Now,DecreasedInPersonVisits,0.250171939
5dc4175e3317732e53467e8b,Now,DecreasedInPersonVisits,0.749828061
59658491b9153e0001617465,Now,DecreasedInPersonVisits,0.000343879
5c9ebf067114700016da2813,Now,DecreasedInPersonVisits,0.000343879
5eca8de81197051fa92b5a6a,Now,DecreasedInPersonVisits,0.000343879
57b60487e5b60d0001083aea,Now,DecreasedInPersonVisits,0.250171939
5d1beb9c9e033e0017a725dc,Now,DecreasedInPersonVisits,0.000343879
5dee72917309b950e5262f3a,Now,DecreasedInPersonVisits,0.749828061
56d0f57421cd29000a9737e4,Now,DecreasedInPersonVisits,0.000343879
5ec75df0d799ae1c11a8115c,Now,DecreasedInPersonVisits,0.250171939
5e65c211b45c6432d8227e4c,Now,DecreasedInPersonVisits,0.000343879
5c6a3c721519ac0001668582,Now,DecreasedInPersonVisits,NA
5dc1eb838a84461511b3cd73,Now,DecreasedInPersonVisits,0.000343879
5cd062370081a60017789079,Now,DecreasedInPersonVisits,0.000343879
5dc8d8b90a0b38630af7a0ba,Now,DecreasedInPersonVisits,0.5
5d6ef023cfe0a400198f911e,Now,DecreasedInPersonVisits,0.250171939
5beb8419aec9ef0001e9d5fb,Now,DecreasedInPersonVisits,0.000343879
5ea8fe56a6d1a135a5a442cd,Now,DecreasedInPersonVisits,0.250171939
5c9a7872e2a8d00001585513,Now,DecreasedInPersonVisits,0.250171939
5c05ff644c14cf00019db0a9,Now,DecreasedInPersonVisits,0.749828061
5d847ac9be4b0b00188463d7,Now,DecreasedInPersonVisits,0.000343879
5eb33612d573b51326905f30,Now,DecreasedInPersonVisits,0.5
5c90094e71f3100016181ea9,Now,DecreasedInPersonVisits,0.250171939
5e82cbf3469f74a0b6d0fd29,Now,DecreasedInPersonVisits,0.5
5d0d16d991270800010b7dd7,Now,DecreasedInPersonVisits,0.250171939
5daa18ed95be5f00133609e8,Now,DecreasedInPersonVisits,0.000343879
